url,publisher,repo,slug,name,description,category,tags,install_count,github_stars,install_command,date_added,security_audited,external_links
https://skills.sh/vercel-labs/skills/find-skills,vercel-labs,skills,find-skills,"find-skills","Discover and install skills for AI agents.",Frontend/Design,"find, skills",185K,100,"$ npx skills add https://github.com/vercel-labs/skills --skill find-skills",,true,"https://vercel.com, https://github.com/vercel-labs/skills"
https://skills.sh/vercel-labs/agent-skills/vercel-react-best-practices,vercel-labs,agent-skills,vercel-react-best-practices,"vercel-react-best-practices","Discover and install skills for AI agents.",Frontend/Design,"vercel, react, best, practices",,,"$ npx skills add https://github.com/vercel-labs/agent-skills --skill vercel-react-best-practices",,true,"https://vercel.com, https://github.com/vercel-labs/agent-skills"
https://skills.sh/anthropics/skills/frontend-design,anthropics,skills,frontend-design,"frontend-design","Discover and install skills for AI agents.",Frontend/Design,"frontend, design",,,"$ npx skills add https://github.com/anthropics/skills --skill frontend-design",,true,"https://vercel.com, https://github.com/anthropics/skills"
https://skills.sh/soultrace-ai/soultrace-skill/soultrace,soultrace-ai,soultrace-skill,soultrace,"soultrace","Discover and install skills for AI agents.",Frontend/Design,"soultrace",,1,"$ npx skills add https://github.com/soultrace-ai/soultrace-skill --skill soultrace",,true,"https://vercel.com, https://soultrace.app/en, https://github.com/soultrace-ai/soultrace-skill"
https://skills.sh/vercel-labs/agent-skills/web-design-guidelines,vercel-labs,agent-skills,web-design-guidelines,"web-design-guidelines","Discover and install skills for AI agents.",Frontend/Design,"web, design, guidelines",,,"$ npx skills add https://github.com/vercel-labs/agent-skills --skill web-design-guidelines",,true,"https://vercel.com, https://github.com/vercel-labs/agent-skills"
https://skills.sh/remotion-dev/skills/remotion-best-practices,remotion-dev,skills,remotion-best-practices,"remotion-best-practices","Discover and install skills for AI agents.",Frontend/Design,"remotion, best, practices",,,"$ npx skills add https://github.com/remotion-dev/skills --skill remotion-best-practices",,true,"https://vercel.com, https://github.com/remotion-dev/skills/blob/HEAD/skills/remotion/./rules/subtitles.md, https://github.com/remotion-dev/skills/blob/HEAD/skills/remotion/./rules/ffmpeg.md, https://github.com/remotion-dev/skills/blob/HEAD/skills/remotion/./rules/silence-detection.md, https://github.com/remotion-dev/skills/blob/HEAD/skills/remotion/./rules/audio-visualization.md"
https://skills.sh/microsoft/azure-skills/microsoft-foundry,microsoft,azure-skills,microsoft-foundry,"microsoft-foundry","Discover and install skills for AI agents.",Cloud/Azure,"microsoft, foundry",,,"$ npx skills add https://github.com/microsoft/azure-skills --skill microsoft-foundry",,true,"https://vercel.com, https://github.com/microsoft/azure-skills/blob/HEAD/.github/plugins/azure-skills/skills/microsoft-foundry/foundry-agent/deploy/deploy.md, https://github.com/microsoft/azure-skills/blob/HEAD/.github/plugins/azure-skills/skills/microsoft-foundry/foundry-agent/invoke/invoke.md, https://github.com/microsoft/azure-skills/blob/HEAD/.github/plugins/azure-skills/skills/microsoft-foundry/foundry-agent/observe/observe.md, https://github.com/microsoft/azure-skills/blob/HEAD/.github/plugins/azure-skills/skills/microsoft-foundry/foundry-agent/trace/trace.md"
https://skills.sh/microsoft/azure-skills/azure-ai,microsoft,azure-skills,azure-ai,"azure-ai","Discover and install skills for AI agents.",Cloud/Azure,"azure, ai",,,"$ npx skills add https://github.com/microsoft/azure-skills --skill azure-ai",,true,"https://vercel.com, https://github.com/microsoft/azure-skills/blob/HEAD/.github/plugins/azure-skills/skills/azure-ai/references/sdk/azure-search-documents-py.md, https://github.com/microsoft/azure-skills/blob/HEAD/.github/plugins/azure-skills/skills/azure-ai/references/sdk/azure-search-documents-ts.md, https://github.com/microsoft/azure-skills/blob/HEAD/.github/plugins/azure-skills/skills/azure-ai/references/sdk/azure-search-documents-dotnet.md, https://github.com/microsoft/azure-skills/blob/HEAD/.github/plugins/azure-skills/skills/azure-ai/references/sdk/azure-ai-openai-dotnet.md"
https://skills.sh/microsoft/azure-skills/azure-deploy,microsoft,azure-skills,azure-deploy,"azure-deploy","Discover and install skills for AI agents.",Cloud/Azure,"azure, deploy",,,"$ npx skills add https://github.com/microsoft/azure-skills --skill azure-deploy",,true,"https://vercel.com, https://learn.microsoft.com/azure/api-management/get-started-create-service-instance, https://github.com/microsoft/azure-skills/blob/HEAD/.github/plugins/azure-skills/skills/azure-deploy/references/pre-deploy-checklist.md, https://github.com/microsoft/azure-skills/blob/HEAD/.github/plugins/azure-skills/skills/azure-deploy/references/global-rules.md, https://github.com/microsoft/azure-skills/blob/HEAD/.github/plugins/azure-skills/skills/azure-deploy/references/pre-deploy-checklist.md"
https://skills.sh/microsoft/azure-skills/azure-prepare,microsoft,azure-skills,azure-prepare,"azure-prepare","Discover and install skills for AI agents.",Cloud/Azure,"azure, prepare",,,"$ npx skills add https://github.com/microsoft/azure-skills --skill azure-prepare",,true,"https://vercel.com, https://github.com/microsoft/azure-skills/blob/HEAD/.github/plugins/azure-skills/skills/azure-prepare/references/azure-context.md, https://github.com/microsoft/azure-skills/blob/HEAD/.github/plugins/azure-skills/skills/azure-prepare/references/global-rules.md, https://github.com/microsoft/azure-skills/blob/HEAD/.github/plugins/azure-skills/skills/azure-prepare/references/global-rules.md, https://github.com/microsoft/azure-skills/blob/HEAD/.github/plugins/azure-skills/skills/azure-prepare/references/services/sql-database/bicep.md"
